"name","genre","year_released"
"Automation - The Car Company Tycoon Game","Business simulation",2015
"A Bastard's Tale","Action, Adventure",2015
"A Date in the Park","Adventure",2015
"A Druid's Duel","Turn-Based Strategy",2015
"Batman: Arkham Knight","Action, adventure",2015
"BeamNG.drive","Vehicle simulation",2015
"Black Mesa","First-person shooter",2015
"Call of Duty: Black Ops 3","FPS",2015
"Cities: Skylines","City-building, Simulation",2015
"Emily Wants to Play","Survival horror",2015
"Factorio","RTS",2015
"Fallout 4","RPG",2015
"Final Fantasy IV: The After Years","Role-playing",2015
"Final Fantasy Type 0","Role-playing",2015
"Five Nights at Freddy's 3","Survival horror",2015
"Grand Theft Auto V","Open world, action-adventure",2015
"Heroes of the Storm","MOBA",2015
"Hotline Miami 2: Wrong Number","Action, top-down shooter",2015
"Just Cause 3","Open world, action",2015
"Lightning Returns: Final Fantasy XIII","Role-playing",2015
"Metal Gear Solid V: Ground Zeroes","Action-adventure, stealth",2015
"Metal Gear Solid V: The Phantom Pain","Action-adventure, stealth",2015
"Minecraft: Story Mode","Graphic adventure",2015
"Mortal Kombat X","Fighting",2015
"Ori and the Blind Forest","Platform",2015
"Pillars of Eternity","Role-playing",2015
"Prison Architect","Construction and management simulation",2015
"Resident Evil: Revelations 2","Action, survival horror",2015
"Ride","Racing game",2015
"Rocket League","Vehicular Soccer",2015
"StarCraft II: Legacy of the Void","RTS",2015
"Tom Clancy’s Rainbow Six Siege","First-person shooter",2015
"Undertale","RPG",2015
"White Night","Survival horror, noir",2015
"The Witcher 3: Wild Hunt","Action role-playing",2015
"Thief","Stealth",2014
"Lovely Planet","First-person shooter, indie",2014
"Roundabout","Open-world driving game",2014
"Ryse: Son of Rome","Action-adventure, hack and slash",2014
"Might & Magic X: Legacy","RPG, action RPG",2014
"The Binding of Isaac","Roguelike",2014
"Scrolls","Tactical CCG",2014
"Luftrausers","Shoot 'em Up",2014
"Dragon Age: Inquisition","Role-playing",2014
"Smite","MOBA",2014
"Borderlands: The Pre-Sequel!","Action role-playing, first-person shooter",2014
"MouseCraft","Puzzle",2014
"A City Sleeps","Action, Shoot 'em up",2014
"Goat Simulator","Nonlinear, sandbox physics",2014
"Yury","Action",2014
"Hearthstone","Digital collectible card game",2014
"Age of Wonders III","Turn-based strategy",2014
"Astebreed","Shoot em up",2014
"NBA 2K15","Sports",2014
"Five Nights at Freddy's 2","Survival horror",2014
"Xenonauts","Turn-based tactics",2014
"Five Nights at Freddy's","Survival horror",2014
"Banished","City building, strategy",2014
"Firefall","MMOFPS",2014
"World of Warcraft: Warlords of Draenor","Online role-playing game",2014
"Lara Croft and the Temple of Osiris","Action-adventure",2014
"Final Fantasy XIV","MMORPG",2014
"Insurgency","First-person shooter",2014
"Final Fantasy XIII-2","Role-playing",2014
"Final Fantasy XIII","Role-playing",2014
"Assassin's Creed Unity","Action-adventure",2014
"WildStar","MMORPG",2014
"Wasteland 2","RPG",2014
"Final Fantasy IV","Role-playing",2014
"Wargame: Red Dragon","Real-time tactics",2014
"Lego Batman 3: Beyond Gotham","Action-adventure",2014
"Metal Gear Rising: Revengeance","Action, hack and slash",2014
"Final Fantasy III","Role-playing",2014
"BattleBlock Theater","Platformer",2014
"Unreal Tournament 4","First-person shooter",2014
"Far Cry 4","First-person shooter, Action-adventure",2014
"Tropico 5","Construction and management simulation, City-building game",2014
"Planetary Annihilation","RTS",2014
"Transistor","Action RPG",2014
"Contagion","First-person shooter",2014
"Pokemon Planet","MMORPG",2014
"A Bird Story","Adventure, RPG",2014
"Assassin's Creed Rogue","Action-adventure",2014
"Hatoful Boyfriend: A School of Hope and White Wings","Visual novel, dating simulation, otome game, nakige",2014
"Retrobooster","Action, arcade, multidirectional shooter",2014
"The Elder Scrolls Online","MMORPG",2014
"Middle-earth: Shadow of Mordor","Action-adventure",2014
"Dark Souls II","Action role-playing",2014
"Robot Roller-Derby Disco Dodgeball","First-person shooter",2014
"Blade Symphony","Action",2014
"The Binding of Isaac: Rebirth","Roguelike",2014
"Mechwarrior Online","Vehicular combat, action",2013
"Fez","Puzzle-platform",2013
"Cities in Motion 2","Business simulation",2013
"Asphalt 8: Airborne","Racing, simulation",2013
"Tom Clancy's Splinter Cell: Blacklist","Action-adventure, stealth",2013
"Batman: Arkham Origins","Action, adventure",2013
"Far Cry 3: Blood Dragon","First-person shooter",2013
"No More Room in Hell","Survival horror",2013
"Epic Battle Fantasy 4","Role-playing",2013
"Civilization V: Brave New World","Turn-based strategy",2013
"Air Conflicts: Vietnam","Flight simulation",2013
"Company of Heroes 2","RTS",2013
"World of Warplanes","Action, MMO",2013
"Battlefield 4","First-person shooter",2013
"DayZ","Open-world, first-person shooter, RPG",2013
"Rust","Open world",2013
"Crysis 3","First-person shooter",2013
"Saints Row IV","Action-adventure, open world",2013
"Dead Space 3","Action-adventure, survival horror, third-person shooter",2013
"Assassin's Creed IV: Black Flag","Action-adventure",2013
"Antichamber","Puzzle platformer",2013
"Outlast","Action",2013
"Tomb Raider (2013)","Action-adventure",2013
"ShootMania Storm","First-person shooter",2013
"State of Decay","Stealth, survival horror, RPG, third-person shooter, simulation",2013
"Starsector","4X, strategy, action RPG",2013
"StarDrive","4X, strategy",2013
"SimCity","City-building",2013
"StarCraft II: Heart of the Swarm","RTS",2013
"The Sims 3: Into the Future","Life simulation",2013
"The Sims 3: Island Paradise","Life simulation",2013
"Papers, Please","Puzzle, simulation",2013
"Democracy 3","Government simulation",2013
"The Stanley Parable","Interactive fiction",2013
"Dota 2","MOBA",2013
"Audiosurf 2","Music, indie",2013
"The Sims 3: University Life","Life simulation",2013
"Project Zomboid","Role-playing, survival horror",2013
"Space Engineers","Sandbox, simulation",2013
"Path of Exile","Action RPG",2013
"Monaco: What's Yours Is Mine","Action, stealth",2013
"Rayman Legends","Platformer",2013
"Bridge Project","Simulation",2013
"Gone Home","Adventure, interactive fiction, point and click",2013
"Grid 2","Racing, arcade",2013
"BioShock Infinite","First-person shooter",2013
"Amnesia: A Machine for Pigs","Horror game",2013
"Kentucky Route Zero","Adventure",2013
"Wargame: AirLand Battle","Real-time tactics",2013
"Europa Universalis IV","Grand strategy",2013
"Garry's Mod","Nonlinear, sandbox physics",2013
"Ace Combat: Assault Horizon","Combat flight simulator",2013
"NBA 2K14","Sports",2013
"Total War: Rome II","RTS",2013
"The Forest","Survival horror",2013
"Metro: Last Light","Post-apocalyptic, FPS",2013
"Call of Duty: Ghosts","Action, FPS",2013
"Assetto Corsa","Racing, simulation",2013
"ARMA 3","Tactical shooter, military simulation, open world",2013
"Age of Empires II: The Forgotten","Real-time Strategy (RTS) expansion pack",2013
"Call of Duty Online","Action, FPS",2013
"Gunpoint","Action, adventure, puzzle platformer",2013
"Age of Empires II: HD Edition","Real-time Strategy (RTS)",2013
"Nether: Resurrected","Survival Horror, Open World, Action",2013
"Payday 2","First-person shooter",2013
"Redshirt","Simulation game",2013
"XCOM: Enemy Within","Turn-based tactics",2013
"Resident Evil 6","Action-adventure, third-person shooter",2012
"Katawa Shoujo","Visual novel, dating sim",2012
"Hitman: Absolution","Action-adventure, stealth",2012
"Hotline Miami","Action, top-down shooter",2012
"Blades of Time","Hack and slash, platformer, action-adventure",2012
"Borderlands 2","Action role-playing, first-person shooter",2012
"Zombie Driver","Vehicular combat",2012
"Absolute Force Online","First-person shooter, third-person shooter",2012
"Call of Duty: Black Ops 2","Action, FPS",2012
"Ace of Spades","First-person shooter",2012
"Chivalry: Medieval Warfare","Action, first-person slasher",2012
"XCOM: Enemy Unknown","Turn-based tactics, tactical role-playing",2012
"World of Warcraft: Mists of Pandaria","Online role-playing game",2012
"Civilization V: Gods & Kings","Turn-based strategy",2012
"Wargame: European Escalation","Real-time tactics",2012
"War of the Roses","Action role-playing",2012
"Tribes: Ascend","First-person shooter",2012
"Counter-Strike: Global Offensive","First-person shooter",2012
"007 Legends","First-person shooter",2012
"Crusader Kings II","Grand strategy",2012
"Torchlight II","Action RPG, hack and slash",2012
"Dark Souls","Action role-playing",2012
"Darksiders 2","Hack and slash, platformer",2012
"Thomas Was Alone","Puzzle-platformer",2012
"Deadlight","Cinematic platformer, survival horror, sidescroller",2012
"Dear Esther","Art",2012
"Stronghold Kingdoms","RTS",2012
"Assassin's Creed III","Action-adventure",2012
"Diablo III","Action role-playing, hack and slash",2012
"Sleeping Dogs","Action-adventure",2012
"The Sims 3: Supernatural","Life simulation",2012
"The Sims 3: Showtime","Life simulation",2012
"The Sims 3: Seasons","Life simulation",2012
"Dragon Quest X","RPG",2012
"Dragon's Dogma","Action role-playing, hack and slash",2012
"DRAMAtical Murder","BL game, visual novel",2012
"The Secret World","MMORPG",2012
"Resident Evil: Revelations","Action, survival horror",2012
"Resident Evil: Operation Raccoon City","Action-adventure, third-person shooter",2012
"Endless Space","4X",2012
"Euro Truck Simulator 2","Simulator",2012
"FTL: Faster Than Light","Indie, simulation, strategy",2012
"Rayman Origins","Platformer",2012
"PlanetSide 2","MMOFPS",2012
"Far Cry 3","First-person shooter",2012
"Orcs Must Die 2","Action, Tower Defense",2012
"NBA 2K13","Sports",2012
"Game Dev Tycoon","Casual, indie, simulation, strategy",2012
"Natural Selection 2","First-person shooter, RTS",2012
"Growtopia","MMO",2012
"Medal of Honor: Warfighter","First-person shooter",2012
"Guild Wars 2","MMORPG",2012
"Mass Effect 3","RPG, action, science fiction",2012
"Lego Batman 2: DC Super Heroes","Action-adventure",2012
"King Arthur II: The Role-Playing Wargame","Turn-based strategy, real-time tactics",2012
"Kingdoms of Amalur: Reckoning","Action role-playing, hack and slash",2012
"The Elder Scrolls V: Skyrim","Action role-playing",2011
"The Sims 3: Generations","Life simulation",2011
"Billy the Wizard: Rocket Broomstick Racing","Racing, platform",2011
"Voxatron","Action-adventure",2011
"Acceleration of Suguri X Edition","Fighting",2011
"Payday: The Heist","First-person shooter",2011
"NBA 2K12","Sports",2011
"Achron","Real-time strategy",2011
"Battlefield Play4Free","First-person shooter",2011
"World of Tanks","Action, MMO",2011
"FlatOut 3: Chaos & Destruction","Racing, arcade",2011
"Anomaly: Warzone Earth","Reverse Tower Defense",2011
"Anno 2070","City-building game",2011
"Kerbal Space Program","Sandbox",2011
"Battlefield 3","First-person shooter",2011
"Star Wars: The Old Republic","MMORPG",2011
"The Cursed Crusade","Action-adventure",2011
"L.A. Noire","Action-adventure",2011
"Call of Duty: Modern Warfare 3","Action, FPS",2011
"Cities in Motion","Business simulation",2011
"Stronghold 3","RTS",2011
"Jurassic Park: The Game","Graphic adventure",2011
"Dragon Age II","Role-playing",2011
"Air Conflicts: Secret Wars","Flight simulation",2011
"Dirt 3","Racing, arcade",2011
"Super Meat Boy","Platformer",2011
"Dino D-Day","Action, indie",2011
"Batman: Arkham City","Action, adventure",2011
"Dungeons of Dredmor","Roguelike, indie",2011
"Crysis 2","First-person shooter",2011
"A Day in the Woods","Puzzle",2011
"Dead Space 2","Survival horror, third-person shooter",2011
"Deus Ex: Human Revolution","Action role-playing",2011
"Magicka","Fantasy, action-adventure",2011
"Red Orchestra 2: Heroes of Stalingrad","Tactical shooter, first-person shooter",2011
"SpaceChem","Puzzle",2011
"Total War: Shogun 2","RTS",2011
"Saints Row: The Third","Action-adventure, open world",2011
"Driver: San Francisco","Action-adventure, racing",2011
"TrackMania 2: Canyon","Racing",2011
"Rage","First-person shooter, action-adventure, vehicular combat, racing",2011
"Assassin's Creed: Revelations","Action-adventure",2011
"A Game of Thrones: Genesis","Strategy",2011
"Postal III","Third-person shooter",2011
"Minecraft","Sandbox",2011
"Portal 2","Puzzle-platform game",2011
"Pokémon TCG Online","Digital collectible card game",2011
"Dungeon Defenders","Tower defense, action RPG",2011
"Dead Island","Zombies, survival",2011
"Terraria","Action-adventure, survival",2011
"Mortal Kombat (2011)","Fighting",2011
"Mount & Blade: With Fire & Sword","Action RPG, strategy",2011
"Bastion","Action, role-playing",2011
"Arcania: Fall of Setarrif","Action role-playing",2011
"Tropico 4","Construction and management simulation, City-building game",2011
"7554","First-person shooter",2011
"Universe Sandbox","Casual, simulation, indie",2011
"Sengoku","Grand strategy",2011
"StarCraft II: Wings of Liberty","RTS",2010
"The Settlers 7: Paths to a Kingdom","City-building game, Real-Time Strategy",2010
"Medal of Honor","First-person shooter",2010
"0 A.D.","RTS",2010
"Tom Clancy's Splinter Cell: Conviction","Action-adventure, stealth",2010
"Heroes of Newerth","MOBA",2010
"Just Cause 2","Open world, action",2010
"Epic Battle Fantasy 3","Role-playing",2010
"Mass Effect 2","RPG, action, science fiction",2010
"Recettear: An Item Shop's Tale","RPG",2010
"M.U.D. TV","Business simulation",2010
"Transformice","Massively multiplayer online, Platform",2010
"Alan Wake","Survival horror",2010
"Fallout: New Vegas","RPG",2010
"Command & Conquer 4: Tiberian Twilight","RTS",2010
"Achtung Panzer: Kharkov 1943","Real-time strategy, Wargame",2010
"Victoria II","Grand strategy",2010
"AssaultCube Reloaded (ACR)","First-person shooter, third-person shooter",2010
"Civilization V","Turn-based strategy",2010
"World of Warcraft: Cataclysm","Online role-playing game",2010
"Castlevania: Lords of Shadow","Action-adventure, hack and slash",2010
"CarneyVale: Showtime","Platformer",2010
"Call of Duty: Black Ops","Action, FPS",2010
"Alien Swarm","Shoot-em-up",2010
"NBA 2K11","Sports",2010
"Napoleon: Total War","Turn-based strategy",2010
"Arcania: Gothic 4","Action role-playing",2010
"Amnesia: The Dark Descent","Horror game",2010
"Mount & Blade: Warband","Action RPG, strategy",2010
"Grand Theft Auto IV: The Lost and Damned","Open world, action-adventure",2010
"Grand Theft Auto: The Ballad of Gay Tony","Open world, action-adventure",2010
"A.R.E.S.: Extinction Agenda","Action, platform",2010
