"name","genre","year_released"
"AssaultCube (AC)","First-person shooter",2006
"Half-Life Deathmatch: Source","First-person shooter",2006
"Vivisector: Beast Within","First-person shooter, survival horror",2006
"ÜberSoldier","First-person shooter",2006
"Commandos: Strike Force","RTS",2006
"Company of Heroes","RTS",2006
"Guild Wars Nightfall","CORPG",2006
"Guild Wars Factions","CORPG",2006
"Medieval II: Total War","Turn-based strategy",2006
"Cossacks II: Battle for Europe","RTS",2006
"TrackMania United","Racing",2006
"TrackMania Nations ESWC","Racing",2006
"Tomb Raider: Legend","Action-adventure",2006
"Tom Clancy's Splinter Cell: Double Agent","Stealth",2006
"Titan Quest","RPG",2006
"Stronghold Legends","RTS",2006
"Defcon","RTS",2006
"Act of War: High Treason","Real-time Strategy (RTS)",2006
"Gothic 3","Action role-playing",2006
"Myth Makers: Super Kart GP","Racing video game",2006
"Star Wars Galaxies","MMORPG",2006
"Star Wars: Empire At War","Real-time strategy",2006
"Desperados 2: Cooper's Revenge","Real-time tactics",2006
"Driver: Parallel Lines","Racing, third-person shooter, action-adventure",2006
"FlatOut 2","Racing, arcade",2006
"The Sims 2: Open for Business","Life simulation",2006
"Battlefield 2142","First-person shooter",2006
"Hitman: Blood Money","Action-adventure, stealth",2006
"NBA Live 07","Sports",2006
"Air Assault Task Force","Wargame",2006
"The Settlers II (10th Anniversary)","City-building game, Real-Time Strategy",2006
"Dungeons & Dragons Online","MMORPG",2006
"Dwarf Fortress","Construction and management simulation, Roguelike",2006
"Rome: Total War: Alexander","Turn-based strategy",2006
"Roblox","Sandbox",2006
"The Elder Scrolls IV: Oblivion","Action role-playing",2006
"Rise of Nations: Rise of Legends","Real-time strategy",2006
"Neverwinter Nights 2","RPG",2006
"Red Orchestra: Ostfront 41-45","Tactical shooter, first-person shooter",2006
"Anno 1701","City-building game",2006
"Agatha Christie: Murder on the Orient Express","Adventure",2006
"Empire Earth II","RTS",2005
"Tom Clancy's Splinter Cell: Chaos Theory","Stealth",2005
"TrackMania Sunrise","Racing",2005
"Silent Hunter III","Submarine simulator",2005
"Constantine","Action-adventure, third-person shooter",2005
"Half-Life 2: Lost Coast","First-person shooter",2005
"NBA Live 06","Sports",2005
"Resident Evil 4","Survival horror",2005
"Guild Wars","CORPG",2005
"Zoo Tycoon 2: Endangered Species","Business simulation",2005
"Battlefield 2","First-person shooter",2005
"Civilization IV","Turn-based strategy",2005
"Agatha Christie: And Then There Were None","Adventure",2005
"Brothers in Arms: Road to Hill 30","First-person shooter",2005
"Quake 4","First-person shooter",2005
"Rome: Total War: Barbarian Invasion","Turn-based strategy",2005
"Ninjabread Man","Platformer",2005
"Act of War: Direct Action","Real-time Strategy (RTS)",2005
"Age of Empires III","Real-time Strategy (RTS)",2005
"Stronghold 2","RTS",2005
"Street Racing Syndicate'","Racing",2005
"Lego Star Wars: The Video Game","Action-adventure",2005
"_summer","Visual novel",2005
"MVP Baseball 2005","Sports",2005
"Star Wars: Republic Commando","Tactical shooter, first-person shooter",2005
"Brothers in Arms: Earned in Blood","First-person shooter",2005
"Myth Makers: Trixie in Toyland","Platformer",2005
"Star Wars: Knights of the Old Republic II – The Sith Lords","RPG",2005
"Anubis II","Action",2005
"Advent Rising","Action-adventure, third-person shooter",2005
"Delta Force: Xtreme","First-person shooter",2005
"SWAT 4","First-person shooter, tactical shooter",2005
"Playboy: The Mansion","Business simulation game",2005
"Call of Duty 2","Action, FPS",2005
"Grand Theft Auto: San Andreas","Open world, action-adventure",2005
"Call of Cthulhu: Dark Corners of the Earth","Survival horror, first-person shooter",2005
"The Sims 2: University","Life simulation",2005
"Day of Defeat: Source","First-person shooter",2005
"Hearts of Iron II","Grand strategy",2005
"The Sims 2: Nightlife","Life simulation",2005
"The Matrix Online","Massively multiplayer online role-playing game",2005
"Call of Duty: United Offensive","Action, FPS",2004
"kkrieger","First-person shooter",2004
"Half-Life 2: Deathmatch","First-person shooter",2004
"Half-Life: Source","First-person shooter",2004
"Half-Life 2","First-person shooter",2004
"Ground Control II: Operation Exodus","Real-time tactics",2004
"NBA Live 2005","Sports",2004
"FlatOut","Racing, arcade",2004
"Neighbours from Hell 2: On Vacation","Puzzle",2004
"Beyond Divinity","RPG",2004
"Far Cry","First-person shooter",2004
"Planetarian: The Reverie of a Little Planet","Visual novel",2004
"Prince of Persia: Warrior Within","Action-adventure, platform, hack and slash",2004
"Richard Burns Rally","Racing game",2004
"Rise of Nations: Thrones and Patriots","Real-time strategy",2004
"RollerCoaster Tycoon 3","Simulation game",2004
"Rome: Total War","Turn-based strategy",2004
"Sacred","Action RPG",2004
"Scrapland","Action-adventure",2004
"The Settlers: Heritage of Kings","City-building game, Real-Time Strategy",2004
"Silkroad Online","MMORPG",2004
"The Sims 2","Life simulation",2004
"Driver 3","Racing, shooter",2004
"Doom 3","Survival horror, First-person shooter",2004
"Dofus","MMORPG",2004
"Delta Force: Black Hawk Down: Team Sabre","First-person shooter",2004
"The Punisher (2005 video game)","Action, third-person shooter",2004
"Thief: Deadly Shadows","Stealth",2004
"Tom Clancy's Splinter Cell: Pandora Tomorrow","Stealth",2004
"Crusader Kings","Grand strategy",2004
"Counter-Strike: Source","First-person shooter",2004
"Counter-Strike: Condition Zero","First-person shooter",2004
"Tribes: Vengeance","First-person shooter",2004
"Unreal Tournament 2004","First-person shooter",2004
"Vampire: The Masquerade – Bloodlines","Action role-playing",2004
"Colin McRae Rally 2005","Racing game",2004
"Colin McRae Rally 04","Racing game",2004
"World of Warcraft","Online role-playing game",2004
"Zoo Tycoon 2","Business simulation",2004
"Hitman: Contracts","Action-adventure, stealth",2004
"Neighbours from Hell","Puzzle",2003
"NBA Live 2004","Sports",2003
"Deus Ex: Invisible War","Action role-playing",2003
"Space Station 13","MMORPG",2003
"Postal 2","First-person shooter",2003
"Age of Wonders: Shadow Magic","Turn-based strategy",2003
"Rayman 3: Hoodlum Havoc","Platformer",2003
"Tomb Raider: The Angel of Darkness","Action-adventure",2003
"After...","Visual novel",2003
"Metal Gear Solid 2: Substance","Action-adventure, stealth",2003
"Judge Dredd: Dredd vs. Death","First-person shooter",2003
"The Sims: Makin' Magic","Life simulation",2003
"Command & Conquer: Generals","RTS",2003
"The Sims: Superstar","Life simulation",2003
"Homeworld 2","Real-time strategy",2003
"Eve Online","Space flight simulator game, MMORPG",2003
"Victoria: An Empire Under The Sun","Grand strategy",2003
"Tropico 2: Pirate Cove","Construction and management simulation",2003
"Commandos 3: Destination Berlin","RTS",2003
"Blitzkrieg","Real-time tactics",2003
"Unreal II: The Awakening","First-person shooter",2003
"Max Payne 2: The Fall of Max Payne","Third-person shooter",2003
"I.G.I.-2: Covert Strike","Stealth",2003
"Anno 1503","City-building game",2003
"Railroad Tycoon 3","Business simulation",2003
"Prince of Persia: The Sands of Time","Action-adventure, puzzle-platformer, hack and slash",2003
"Halo: Combat Evolved","First-person shooter",2003
"Beyond Good & Evil","Action-adventure",2003
"Big Rigs: Over the Road Racing","Racing Game",2003
"Neverwinter Nights: Shadows of Undrentide","Role-playing",2003
"Enclave","Action",2003
"Neverwinter Nights: Hordes of the Underdark","Role-playing",2003
"Star Wars: Knights of the Old Republic","RPG",2003
"PlanetSide","MMOFPS",2003
"Battlefield 1942: Secret Weapons of WWII","First-person shooter",2003
"Call of Duty","Action, FPS",2003
"SimCity 4","City-building",2003
"Freelancer","Space trading and combat simulator",2003
"Grand Theft Auto: Vice City","Open world, action-adventure",2003
"Battlefield 1942: The Road to Rome","First-person shooter",2003
"The Adventures of Fatman","Point-and-click adventure",2003
"Rise of Nations","Real-time strategy",2003
"Sonic Heroes","platform",2003
"Delta Force: Black Hawk Down","First-person shooter",2003
"XIII","First-person shooter",2003
"AGON","Adventure",2003
"Civilization III: Conquests","Turn-based strategy",2003
"Stronghold: Crusader","RTS",2002
"The Sims: Unleashed","Life simulation",2002
"The Sims: Vacation","Life simulation",2002
"Divine Divinity","RPG",2002
"Battlefield 1942","First-person shooter",2002
"Rayman M/Arena","Party",2002
"Beam Breakers","Futuristic racing",2002
"Nickelodeon Party Blast","Party",2002
"Hearts of Iron","Grand strategy",2002
"Age of Mythology","Real-time Strategy (RTS)",2002
"Hitman 2: Silent Assassin","Action-adventure, stealth",2002
"Ace Lightning","Action-adventure, third-person shooter, platform game",2002
"Neverwinter Nights","Role-playing",2002
"Age of Wonders II: The Wizard's Throne","Turn-based strategy",2002
"Colin McRae Rally 3","Racing game",2002
"RollerCoaster Tycoon 2","Simulation game",2002
"Need for Speed: Underground","Racing",2002
"The Elder Scrolls III: Morrowind","Action role-playing",2002
"Warcraft III: Reign of Chaos","RTS",2002
"Command & Conquer: Renegade","Tactical shooter",2002
"Need for Speed: Hot Pursuit 2","Racing",2002
"Unreal Tournament 2003","First-person shooter",2002
"James Bond 007: Nightfire","First-person shooter",2002
"Medieval: Total War","Turn-based strategy",2002
"MegaRace 3","Racing video game",2002
"Operation Flashpoint: Resistance","Tactical shooter",2002
"Tom Clancy's Splinter Cell","Stealth",2002
"NBA Live 2003","Sports",2002
"Icewind Dale II","RPG",2002
"Grand Theft Auto III","Open world, action-adventure",2002
"Final Fantasy XI","Role-playing",2002
"Activision Anthology","Compilation",2002
"Delta Force: Task Force Dagger","First-person shooter",2002
"Gothic II","Action role-playing",2002
"Frank Herbert's Dune","Adventure",2001
"Half-Life: Blue Shift","First-person shooter",2001
"Europa Universalis II","Grand strategy",2001
"Silent Hunter II","Submarine simulator",2001
"Desperados: Wanted Dead or Alive","Real-time tactics",2001
"NBA Live 2001","Sports",2001
"Civilization III","Turn-based strategy",2001
"Adventure at the Chateau d'Or","Adventure",2001
"The Sims: House Party","Life simulation",2001
"Jurassic Park III: Dino Defender","Side-scrolling, action",2001
"Jurassic Park III: Danger Zone!","Action, adventure",2001
"The Sims: Hot Date","Life simulation",2001
"Baldur's Gate II: Throne of Bhaal","Role-playing Microsoft Windows, macOS",2001
"Deathmatch Classic","First-person shooter",2001
"The Sting!","Strategy, adventure",2001
"Empire Earth","RTS",2001
"Gothic","Action role-playing",2001
"Fallout Tactics: Brotherhood of Steel","TRPG",2001
"Commandos 2: Men of Courage","RTS",2001
"Max Payne","Third-person shooter",2001
"Operation Flashpoint: Cold War Crisis","Tactical shooter",2001
"The Settlers IV","City-building game, Real-Time Strategy",2001
"Emperor: Battle for Dune","Real-time strategy",2001
"Tropico","Construction and management simulation",2001
"Adventure Pinball: Forgotten Island","Pinball",2001
"Tribes 2","First-person shooter",2001
"Z: Steel Soldiers","Real-time strategy",2001
"Zoo Tycoon","Business simulation",2001
"RuneScape","MMORPG",2001
"Stronghold","RTS",2001
"Colin McRae Rally 2.0","Racing game",2000
"Project I.G.I.","Stealth game",2000
"Europa Universalis","Grand strategy",2000
"Ad Verbum","Text Adventure, Interactive Fiction",2000
"Hogs of War","Turn-based tactics, artillery",2000
"Need for Speed: Porsche Unleashed","Racing",2000
"Homeworld: Cataclysm","Real-time strategy",2000
"Shogun: Total War","Turn-based strategy, real-time tactics",2000
"Baldur's Gate II: Shadows of Amn","Role-playing",2000
"The Sims","Life simulation",2000
"Hitman: Codename 47","Action-adventure, stealth",2000
"NBA Inside Drive","Sports",2000
"Battleship: Surface Thunder","Action",2000
"Age of Empires II: The Conquerors","Real-time Strategy (RTS)",2000
"The Sims: Livin' Large","Life simulation",2000
"Diablo II","Action role-playing, hack and slash",2000
"Deus Ex","Action role-playing",2000
"Delta Force: Land Warrior","Tactical shooter, first-person shooter",2000
"Icewind Dale","RPG",2000
"Day of Defeat","First-person shooter",2000
"Thief II: The Metal Age","Stealth",2000
"Ground Control","Real-time tactics",2000
"Tomb Raider: Chronicles","Action-adventure",2000
"MDK2","Third-person shooter, action-adventure",2000
"Tzar","Real-time strategy",2000
"Vampire: The Masquerade – Redemption","Role-playing",2000
"Command & Conquer: Red Alert 2","RTS",2000
"Wizards & Warriors","RPG",2000
"Aces High","Combat flight simulator",2000
"102 Dalmatians: Puppies to the Rescue","Platform",2000
"Heroes of Might and Magic III","Turn-based strategy",1999
"Delta Force 2","Tactical shooter, first-person shooter",1999
"Grand Theft Auto: London 1961","Open world, action-adventure",1999
"Age of Empires II: The Age of Kings","Real-time Strategy (RTS)",1999
"Grand Theft Auto: London 1969","Open world, action-adventure",1999
"Grand Theft Auto 2","Open world, action-adventure",1999
"Quake III Arena","First-person shooter",1999
"SimCity 3000","City-building",1999
"SWAT 3: Close Quarters Battle","First-person shooter, tactical shooter",1999
"Might and Magic VII","RPG, action RPG",1999
"System Shock 2","Action RPG, survival horror",1999
"Team Fortress Classic","First-person shooter",1999
"Driver","Driving, action",1999
"Rayman 2: The Great Escape","Platformer",1999
"Final Fantasy VIII","Role-playing",1999
"Silver","Action RPG",1999
"Darkstone: Evil Reigns","Action RPG",1999
"Outcast","Adventure, Action",1999
"Tomb Raider: The Last Revelation","Action-adventure",1999
"Age of Wonders","Turn-based strategy",1999
"Counter-Strike","First-person shooter",1999
"Commandos: Beyond the Call of Duty","RTS",1999
"Dungeon Keeper 2","RTS, god game, dungeon management game",1999
"Unreal Tournament","First-person shooter",1999
"Lands of Lore III","RPG",1999
"Need for Speed: High Stakes","Racing",1999
"Command & Conquer: Tiberian Sun","RTS",1999
"Resident Evil 3: Nemesis","Survival horror",1999
"Abomination: The Nemesis Project","Action, real-time tactics",1999
"Homeworld","Real-time strategy, real-time tactics, space simulation",1999
"Lego Rock Raiders","Real-time strategy, action",1999
"Baldur's Gate: Tales of the Sword Coast","Role-playing",1999
"RollerCoaster Tycoon","Simulation game",1999
"M.U.G.E.N","Fighting",1999
"Actua Pool","Sports",1999
"Half-Life: Opposing Force","First-person shooter",1999
"Actua Ice Hockey","Sports",1998
"Commandos: Behind Enemy Lines","RTS",1998
"Actua Golf 2","Sports",1998
"Colin McRae Rally","Racing game",1998
"Resident Evil 2","Survival horror",1998
"StarCraft: Brood War","RTS",1998
"Dune 2000","Real-time strategy",1998
"Trespasser","Action-adventure, first-person shooter",1998
"StarCraft","RTS",1998
"Knights and Merchants: The Shattered Kingdom","RTS",1998
"Final Fantasy VII","Role-playing",1998
"Need for Speed III: Hot Pursuit","Racing",1998
"The Settlers III","City-building game, Real-Time Strategy",1998
"Jazz Jackrabbit 2","Side-scrolling shooter, platform",1998
"Might and Magic VI","RPG, action RPG",1998
"M1 Tank Platoon II","Simulation, real-time tactics",1998
"3D Maze Man: Amazing Adventures","Arcade",1998
"Anno 1602","City-building game",1998
"Half-Life","First-person shooter",1998
"Delta Force","Tactical shooter, first-person shooter",1998
"Fallout 2","RPG",1998
"Tomb Raider III","Action-adventure",1998
"The Elder Scrolls Adventures: Redguard","Action role-playing",1998
"Starsiege: Tribes","First-person shooter",1998
"Addiction Pinball","Pinball",1998
"NBA Live 99","Sports",1998
"Metal Gear Solid","Action-adventure, stealth",1998
"Police Quest: SWAT 2","Real-time tactics",1998
"Action Quake 2","First-person shooter",1998
"Age of Empires: The Rise of Rome","Real-time Strategy (RTS)",1998
"Thief: The Dark Project","Stealth",1998
"Baldur's Gate","Role-playing",1998
"Battleground 9: Chickamauga","Turn-based strategy, real-time tactics",1998
"Lineage","MMORPG",1998
"Microsoft Combat Flight Simulator","CFS, Flight Simulation",1998
"Unreal","First-person shooter",1998
"Backyard Baseball","Sports video game",1997
"Fallout","RPG",1997
"Postal","Top-down shooter",1997
"101 Dalmatians: Escape from DeVil Manor","Action, adventure, strategy",1997
"Sonic & Knuckles Collection","platform, compilation",1997
"Age of Empires","Real-time Strategy (RTS)",1997
"Tomb Raider II","Action-adventure",1997
"Quake II","First-person shooter",1997
"Battleground 10: Middle East","Turn-based strategy, real-time tactics",1997
"ABC Sports Indy Racing","Racing",1997
"Total Annihilation","RTS",1997
"Zork: Grand Inquisitor","Adventure",1997
"Need for Speed II","Racing",1997
"Lands of Lore: Guardians of Destiny","RPG",1997
"MDK","Third-person shooter",1997
"Dungeon Keeper","RTS, god game, dungeon management game",1997
"Chaos Island: The Lost World","Real-time strategy",1997
"Battleground 7: Bull Run","Turn-based strategy, real-time tactics",1997
"688(I) Hunter/Killer","Submarine simulator",1997
"Battleground 6: Napoleon in Russia","Turn-based strategy, real-time tactics",1997
"A Fork in the Tale","Adventure",1997
"Battleground 8: Prelude to Waterloo","Turn-based strategy, real-time tactics",1997
"Grand Theft Auto","Open world, action-adventure",1997
"7th Legion","RTS",1997
"An Elder Scrolls Legend: Battlespire","Action role-playing",1997
"NBA Jam Extreme","Sports",1997
"Battleground 11: East Front","Turn-based strategy, real-time tactics",1997
"Achtung Spitfire!","Strategy, Computer wargaming",1997
"Beasts and Bumpkins","Real-time simulation",1997
"Tanarus","First-person shooter",1997
"The Neverhood","Point-and-click adventure game",1996
"Silent Hunter","Submarine simulator",1996
"Heroes of Might and Magic II","Turn-based strategy",1996
"Dark Sun Online: Crimson Sands","RPG, fantasy",1996
"Diablo","Action role-playing, hack and slash",1996
"Battleground 5: Antietam","Turn-based strategy, real-time tactics",1996
"A.D.A.M. Life's Greatest Mysteries","Educational",1996
"Tomb Raider","Action-adventure",1996
"Quake","First-person shooter",1996
"The Adventures of Lomax","2D platformer",1996
"Z","Real-time strategy",1996
"NBA Hangtime","Sports",1996
"A.D. 2044","Adventure",1996
"The Settlers II","City-building game, Real-Time Strategy",1996
"Rayman","Platformer",1996
"Command & Conquer: Red Alert","RTS",1996
"Resident Evil","Survival horror",1996
"Harvester","Adventure",1996
"AD&D Masterpiece Collection","Role-playing video game",1996
"A-10 Cuba!","Flight simulator",1996
"MegaRace 2","Racing video game",1996
"Battleground 3: Waterloo","Turn-based strategy, real-time tactics",1996
"Fragile Allegiance","4X, real-time strategy",1996
"The Elder Scrolls II: Daggerfall","Action role-playing",1996
"Adidas Power Soccer","Sports",1996
"9: The Last Resort","Adventure game",1996
"ABC Sports Monday Night Football","Sports",1996
"Afterlife","God game",1996
"Ace Ventura: The CD-Rom Game","Graphic Adventure (Point-and-click)",1996
"Battleground 4: Shiloh","Turn-based strategy, real-time tactics",1996
"Heroes of Might and Magic: A Strategic Quest","Turn-based strategy",1995
"Daryl F. Gates' Police Quest: SWAT","Interactive movie, simulation, action-adventure",1995
"Dark Sun: Wake of the Ravager","RPG, fantasy",1995
"Battleground 2: Gettysburg","Turn-based strategy, real-time tactics",1995
"Acrophobia (game)","Word",1995
"True Love","Visual novel",1995
"Command & Conquer","RTS",1995
"1830: Railroads & Robber Barons","RTS",1995
"X-Plane","Flight simulator",1995
"A to Zap! Featuring the Sunbuddies","Educational",1995
"A Passion for Art: Renoir, Cezanne, Matisse, and Dr. Barnes","Fine Art",1995
"A.D.A.M. The Inside Story","Educational",1995
"Africa Trail","Adventure, Educational, Simulation, Sports",1995
"Battles in Time","Strategy",1995
"Doom II: Hell on Earth","First-person shooter",1994
"Xargon","Platform",1994
"Star Wars: TIE Fighter","Flight simulation",1994
"Warcraft: Orcs & Humans","RTS",1994
"The Elder Scrolls: Arena","Action role-playing",1994
"1942: The Pacific Air War","Flight simulator",1994
"System Shock","Action-adventure, RPG",1994
"AstroFire","Shoot em up",1994
"Jazz Jackrabbit","Side-scrolling shooter, platform",1994
"Transport Tycoon","Business simulation game",1994
"Need for Speed","Racing",1994
"SimCity 2000","City-building",1994
"Myst","Adventure",1994
"The Settlers","City-building game, Real-Time Strategy",1993
"Jurassic Park","Action",1993
"Star Wars: X-Wing","Flight simulation",1993
"Betrayal at Krondor","RPG",1993
"Doom","First-person shooter",1993
"MegaRace","Racing video game",1993
"Dark Sun: Shattered Lands","RPG, fantasy",1993
"Lands of Lore: The Throne of Chaos","RPG",1993
"1869","Strategy",1992
"Jill of the Jungle","Platform",1992
"Eye of the Beholder III: Assault on Myth Drannor","Fantasy, RPG",1992
"Dune II","Real-time strategy",1992
"Aces of the Pacific","Combat flight simulator",1992
"1-0 Soccer Manager","Sports, management",1992
"3D Construction Kit II","Simulation",1992
"Dune","Adventure, strategy",1992
"Eye of the Beholder II: The Legend of Darkmoon","Fantasy, RPG",1991
"Pools of Darkness","Fantasy, RPG",1991
"3D Construction Kit","Simulation",1991
"ZZT","Action-adventure, Puzzle",1991
"7 Colors","Strategy",1991
"4D Sports Boxing","Sports",1991
"Duke Nukem","Platformer",1991
"Death Knights of Krynn","Fantasy, RPG",1991
"NBA Live 2000","Sports",1990
"Eye of the Beholder","Fantasy, RPG",1990
"4D Sports Tennis","Sports",1990
"DragonStrike","RPG",1990
"Railroad Tycoon","Business simulation",1990
"Secret of the Silver Blades","Fantasy, RPG",1990
"Metal Gear 2: Solid Snake","Action-adventure, stealth",1990
"Zeliard","Platformer, Action RPG",1990
"Hugo's House of Horrors","Adventure, survival horror",1990
"Champions of Krynn","Fantasy, RPG",1990
"M1 Tank Platoon","Simulation, real-time tactics",1989
"007: Licence to Kill","Top-down shooter",1989
"Curse of the Azure Bonds","Fantasy, RPG",1989
"Dragons of Flame","Action, RPG, fantasy",1989
"War of the Lance","Strategy",1988
"Zork Zero","interactive fiction",1988
"Wasteland","RPG",1988
"Heroes of the Lance","RPG, fantasy",1988
"Battles of Napoleon","Wargame",1988
"4x4 Off-Road Racing","Racing",1988
"Pool of Radiance","Fantasy, RPG",1988
"Battlehawks 1942","Flight simulation",1988
"2400 A.D.","Adventure",1987
"221B Baker Street","Puzzle",1987
"Leisure Suit Larry series","Graphic adventure",1987
"Metal Gear","Action-adventure, stealth",1987
"500cc Grand Prix","Racing",1987
"180","Sports",1986
"10th Frame","Sports",1986
"A Mind Forever Voyaging","Interactive fiction",1985
"A-Train","Vehicle Simulation Game",1985
"50 Mission Crush","RPG",1984
"Axis Assassin","Tube shooter",1983
